Hotel_name,Longitude,Latitude
Hilton Kuala Lumpur Hotel,101.685774,3.135573
"Mandarin Oriental, Kuala Lumpur Hotel",101.711847,3.156755
Oasia Suites Kuala Lumpur by Far East Hospitality Hotel,101.705198,3.153252
PARKROYAL Serviced Suites Kuala Lumpur Hotel,101.70905,3.14912
Royale Chulan Kuala Lumpur Hotel,101.71722,3.149642
"Sunway Velocity Hotel, Kuala Lumpur",101.723764,3.126954
The Majestic Hotel Kuala Lumpur,101.692242,3.139277
"Traders Hotel, Kuala Lumpur",101.71523,3.154241
"Lanson Place Bukit Ceylon Serviced Residences Hotel, Kuala Lumpur",101.704126,3.147777
"The RuMa Hotel and Residences, Kuala Lumpur",101.714528,3.152809
