9.325,"Hotel Verve, Bangkok","22/1 Sukhumvit 55 (Soi Thong Lo) Khwaeng Klongton Nue, Khet Wattana, Bangkok 10110 Thailand"
9.378,Novotel Bangkok on Siam Square Hotel,"392/44 Siam Square Soi 6, Bangkok 10330 Thailand"
9.4255,"FuramaXclusive Sathorn Hotel, Bangkok","59, Soi Silom 3, Silom Road Silom, Bang Rak, Bangkok 10500 Thailand"
9.447,"Asoke Residence Sukhumvit by UHG Condominium, Bangkok","235/20-25 Sukhumvit 21 , Klong Toey Nue, Wattana, Bangkok 10110 Thailand"
9.463,Siri Sathorn Bangkok by UHG Hotel,"27 Soi Saladaeng 1, Silom Road, Bangkok 10500 Thailand"
9.4675,SKYVIEW Hotel Bangkok,"12, Soi Sukhumvit 24 Khlong Tan, Khlong Toei, Bangkok 10110 Thailand"
9.484,"Alt Hotel Nana by UHG, Bangkok","222 Sukhumvit Soi 4 Sub Soi 2 (Nana) Khlong Toei, Khlong Toei, Bangkok 10110 Thailand"
9.510000000000002,"The Quarter Ladprao by UHG Hotel, Bangkok","Soi Ladprao 4 Ladprao Road, Chom Phon, Chatuchak, Bangkok 10900 Thailand"
9.514499999999998,"The Quarter Ari by UHG Hotel, Bangkok","428 Phaholyothin Road in front of Soi 10 Samsen Nai, Phya Thai, Bangkok 10400 Thailand"
9.587,Millennium Hilton Bangkok Hotel,"123 Charoennakorn Road Khlongtonsai, Khlongsan, Bangkok 10600 Thailand"
